City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Jiuquan,CN,39.7432,98.5174,47.41,25,0,3.87,clear sky
296,Palmas Bellas,PA,9.2319,-80.0867,82.26,84,96,5.77,overcast clouds
297,Marsh Harbour,BS,26.5412,-77.0636,76.37,80,58,12.39,broken clouds
298,Bouar,CF,5.934,15.596,66.22,87,84,1.07,light rain
299,Ugoofaaru,MV,5.6667,73.0,83.91,74,99,9.22,overcast clouds
300,Palaikastron,GR,35.2,26.25,58.23,85,15,17.16,few clouds
301,Nhulunbuy,AU,-12.2333,136.7667,79.41,89,75,6.91,moderate rain
302,Umm Lajj,SA,25.0213,37.2685,84.72,22,100,9.78,overcast clouds
303,Ossora,RU,59.2353,163.0719,30.16,76,16,0.67,few clouds
304,Narsaq,GL,60.9167,-46.05,34.02,90,47,2.42,scattered clouds
305,Krivodanovka,RU,55.0881,82.6551,39.29,80,0,7.0,clear sky
306,Batticaloa,LK,7.7102,81.6924,79.56,83,29,2.86,scattered clouds
307,Saint-Augustin,CA,51.226,-58.6502,34.95,99,100,14.2,light snow
308,Trogir,HR,43.5125,16.2517,50.05,29,0,27.63,clear sky
309,Itoman,JP,26.1247,127.6694,74.17,62,40,6.91,scattered clouds
310,Srednekolymsk,RU,67.45,153.6833,20.7,87,97,6.8,overcast clouds
311,Arlit,NE,18.7369,7.3853,75.78,15,100,6.06,overcast clouds
312,Ballina,AU,-28.8667,153.5667,75.38,74,100,9.22,overcast clouds
313,Meadow Lake,US,34.8014,-106.5436,75.79,9,0,12.73,clear sky
314,Zalantun,CN,48.0,122.7167,48.34,21,87,8.25,overcast clouds
315,Montepuez,MZ,-13.1256,38.9997,68.05,98,24,7.81,few clouds
316,Svarstad,NO,59.399,9.9698,41.38,80,100,0.76,overcast clouds
317,Copiapo,CL,-27.3667,-70.3333,55.09,68,0,1.25,clear sky
318,Naryan-Mar,RU,67.6713,53.087,32.22,98,100,8.41,overcast clouds
319,Kalininsk,RU,51.5,44.4758,50.11,82,100,4.88,overcast clouds
320,Grindavik,IS,63.8424,-22.4338,39.67,70,75,6.91,broken clouds
321,Asfi,MA,32.2994,-9.2372,63.86,80,100,9.8,overcast clouds
322,Jijiga,ET,9.35,42.8,64.49,62,54,3.62,broken clouds
323,Malavalli,IN,12.3833,77.0833,73.26,68,9,3.47,clear sky
324,Walvis Bay,NA,-22.9575,14.5053,64.06,65,6,5.17,clear sky
325,Carutapera,BR,-1.195,-46.02,76.14,91,100,2.44,overcast clouds
326,Grande-Synthe,FR,51.0154,2.2998,51.03,65,100,9.82,overcast clouds
327,Benemerito De Las Americas,MX,16.5167,-90.6439,78.85,60,22,1.63,few clouds
328,Zhigansk,RU,66.7697,123.3711,29.37,79,100,29.44,overcast clouds
329,Tazovskiy,RU,67.4667,78.7,9.05,95,100,10.56,overcast clouds
330,Cabedelo,BR,-6.9811,-34.8339,79.47,77,98,9.69,overcast clouds
331,Rabaul,PG,-4.1967,152.1721,83.48,71,36,3.69,scattered clouds
332,Turbat,PK,26.0023,63.044,80.56,49,0,3.49,clear sky
333,Santa Isabel,BR,-23.3156,-46.2214,62.31,92,99,2.62,overcast clouds
334,Kruisfontein,ZA,-34.0033,24.7314,59.88,85,100,4.99,light rain
335,Talnakh,RU,69.4865,88.3972,4.21,94,100,5.01,overcast clouds
336,Yerbogachen,RU,61.2767,108.0108,35.42,69,81,14.03,broken clouds
337,Sveio,NO,59.5419,5.3518,42.53,80,30,6.98,scattered clouds
338,Ust-Kishert,RU,57.3654,57.2495,31.48,94,99,7.9,overcast clouds
339,Suntar,RU,62.1444,117.6319,40.42,85,99,10.49,overcast clouds
340,Havoysund,NO,70.9963,24.6622,43.03,96,100,14.25,overcast clouds
341,Beyneu,KZ,45.3167,55.2,58.89,41,0,7.05,clear sky
342,Cockburn Town,TC,21.4612,-71.1419,77.99,85,67,22.88,broken clouds
343,Eirunepe,BR,-6.6603,-69.8736,73.51,99,100,2.44,light rain
344,Nador,MA,35.174,-2.9287,61.05,77,0,3.44,clear sky
345,Resistencia,AR,-27.4606,-58.9839,65.08,87,0,4.61,clear sky
346,Hasaki,JP,35.7333,140.8333,66.29,66,100,11.39,moderate rain
