City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
265,Mazagao,BR,78.85,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
266,Jimenez,MX,82.92,overcast clouds,28.3333,-105.4,El torreon
267,Atambua,ID,81.81,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
269,Matadi,CD,77.4,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
270,Catuday,PH,83.46,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
271,Haines Junction,CA,35.55,overcast clouds,60.7522,-137.5108,Parkside Inn
273,Grand Gaube,MU,77.4,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
274,Qaqortoq,GL,26.55,broken clouds,60.7167,-46.0333,Siniffik Inn
275,Saint Anthony,US,35.85,light snow,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
276,Yining,CN,56.01,overcast clouds,29.0361,114.5636,Xiushui Hotel
277,The Valley,AI,78.82,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
278,Baghdad,IQ,60.71,broken clouds,33.3406,44.4009,Baghdad Hotel
280,Rusera,IN,77.77,clear sky,25.75,86.0333,Santosh Hotel&Santosh resturent
281,Muisne,EC,75.07,overcast clouds,0.6,-80.0333,Quinta Samay
282,Altamira,BR,72.66,light rain,-3.2033,-52.2064,Requinte Hotel
283,Eureka,US,62.74,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
284,Alyangula,AU,87.67,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
285,Lagoa,PT,56.97,broken clouds,39.05,-27.9833,Casa Das Faias
286,Hauterive,FR,43.56,overcast clouds,46.0901,3.4459,Aletti Palace Hotel
287,Fortuna,US,58.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
288,Rio Grande,BR,61.95,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
289,Kita,ML,87.67,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
290,Alvorada,BR,72.91,overcast clouds,-12.48,-49.1247,Cristal Plaza Hotel
291,Halvad,IN,75.54,clear sky,23.0167,71.1833,"""BHAVANI KRUPA"" Jagdishbhai H. Kariya"
293,Mosnita Noua,RO,38.97,clear sky,45.7172,21.3253,Castel Royal
295,Jiuquan,CN,47.41,clear sky,39.7432,98.5174,Jiuquan Hotel
296,Palmas Bellas,PA,82.26,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
297,Marsh Harbour,BS,76.37,broken clouds,26.5412,-77.0636,Abaco Beach Resort
298,Bouar,CF,66.22,light rain,5.934,15.596,Motel de l'UNITE
299,Ugoofaaru,MV,83.91,overcast clouds,5.6667,73.0,Ungoofaaru Inn
300,Palaikastron,GR,58.23,few clouds,35.2,26.25,Marina Village
301,Nhulunbuy,AU,79.41,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
302,Umm Lajj,SA,84.72,overcast clouds,25.0213,37.2685,Moon light Furnished Units
304,Narsaq,GL,34.02,scattered clouds,60.9167,-46.05,Sleep In Narsaq
306,Batticaloa,LK,79.56,scattered clouds,7.7102,81.6924,Grand Star Guest House
308,Trogir,HR,50.05,clear sky,43.5125,16.2517,Hotel Medena
309,Itoman,JP,74.17,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
311,Arlit,NE,75.78,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
312,Ballina,AU,75.38,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
313,Meadow Lake,US,75.79,clear sky,34.8014,-106.5436,TumbleWeed RV Park
314,Zalantun,CN,48.34,overcast clouds,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
315,Montepuez,MZ,68.05,few clouds,-13.1256,38.9997,PembaAparthotel
316,Svarstad,NO,41.38,overcast clouds,59.399,9.9698,Sogn Gjestegard
317,Copiapo,CL,55.09,clear sky,-27.3667,-70.3333,Antay Casino Hotel
318,Naryan-Mar,RU,32.22,overcast clouds,67.6713,53.087,Hostel Agat
319,Kalininsk,RU,50.11,overcast clouds,51.5,44.4758,Guest House on Chekhova
320,Grindavik,IS,39.67,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
321,Asfi,MA,63.86,overcast clouds,32.2994,-9.2372,Hôtel Abda
322,Jijiga,ET,64.49,broken clouds,9.35,42.8,RAMAAS HOTEL
323,Malavalli,IN,73.26,clear sky,12.3833,77.0833,Siddapaji Temple
325,Carutapera,BR,76.14,overcast clouds,-1.195,-46.02,Lidera
326,Grande-Synthe,FR,51.03,overcast clouds,51.0154,2.2998,Première Classe
327,Benemerito De Las Americas,MX,78.85,few clouds,16.5167,-90.6439,Hotel Fontera Sur
328,Zhigansk,RU,29.37,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
330,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
331,Rabaul,PG,83.48,scattered clouds,-4.1967,152.1721,Rabaul Hotel
332,Turbat,PK,80.56,clear sky,26.0023,63.044,Mubashar Quarters
333,Santa Isabel,BR,62.31,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
334,Kruisfontein,ZA,59.88,light rain,-34.0033,24.7314,Oyster Bay House Rental
337,Sveio,NO,42.53,scattered clouds,59.5419,5.3518,Gretaaprover
339,Suntar,RU,40.42,overcast clouds,62.1444,117.6319,Гостевая квартира
340,Havoysund,NO,43.03,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
341,Beyneu,KZ,58.89,clear sky,45.3167,55.2,NUR
342,Cockburn Town,TC,77.99,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
343,Eirunepe,BR,73.51,light rain,-6.6603,-69.8736,Atrás de você
344,Nador,MA,61.05,clear sky,35.174,-2.9287,Hôtel La Giralda
345,Resistencia,AR,65.08,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
